
I	私は(が)
my	私の
or	それとも
we	私たちは
do	する
it	それは
he	彼は
us	私たちを(に)
up	上へ
TV	テレビ
so	そんなに
go	行く
it	それを(に)
no	いいえ
if	もし
me	私を
beg	…を乞う
say	言う
too	～もまた，～すぎる
sea	海
eat	食べる
see	見る，わかる，調査する
pig	ブタ
his	彼の
due	行われる［到着する］予定である
cow	雌牛
pet	ペット
mom	おかあちゃん
zoo	動物園
him	彼を(に)
add	…を付け加える
mix	混ぜる
pen	ペン
set	置く
pay	支払う
she	彼女は
dog	犬
eye	目
pal	友だち
sit	座る
pop	ポピュラー音楽
six	6
pot	ポット
ski	スキーをする
own	自分の
sky	空
our	私たちの
May	５月
put	置く
fan	ファン
yet	まだ(～でない)
use	使用
old	年をとった，古い
use	使う
oil	油
far	遠くに，はるかに
age	年齢，時代
yen	円
off	離れて
fat	太った
ago	前
her	彼女を（に）
die	死ぬ
her	彼女の
hot	暑い
arm	腕
aim	ねらいをつける／目的
fat	太った／脂肪
not	～でない
map	地図
raw	生の
few	(aをつけ)少数の
raw	生の，原料のままの
fit	…に適合する／適した
all	すべての
fix	…を固定する，…を修理する
joy	喜び
key	鍵
joy	喜び
art	美術，芸術
era	時代
low	低い
nod	うなずく
fly	飛行機で行く，飛ぶ
new	新しい
kid	子供／（…を）からかう
row	こぐ
lot	たくさん
row	列／…をこぐ
ask	たずねる，頼む
run	走る
ill	病気の
war	戦争
two	2
dad	お父ちゃん
sum	金額，合計
sad	悲しい
sun	太陽
cup	カップ
fox	キツネ
you	あなたは，あなたがたは
try	試す
ink	インク
cat	猫
pie	パイ
lip	くちびる
win	勝つ，…を勝ち取る
car	自動車
win	勝つ
tea	お茶
why	なぜ
cap	帽子
ice	氷
hat	帽子
own	自身の／…を所有している
can	カン
end	終わる
ten	10
one	1
buy	買う
jam	ジャム，混雑
but	しかし
odd	変な，奇数の／（（oddsで））可能性
bus	バス
die	死ぬ
fun	楽しみ
air	空気
fur	毛皮
job	仕事
lie	横たわる，嘘をつく
all	まったく
box	箱
ray	光線
bow	お辞儀をする／お辞儀
you	あなたに(を)，あなたがたを
toy	おもちゃ
hit	…を叩く
lie	横たわる，～にある
war	戦争
gas	ガス
cut	切る
lie	嘘
cry	泣く
leg	脚
ear	耳
top	頂上
add	加える
bit	少し
yes	はい
gym	体育館
owe	…に金を借りている
gun	鉄砲
its	それの
get	得る，着く，乗る
now	今
get	…になる，…を手に入れる
rat	ネズミ
big	大きい
way	道，方法
God	神
net	網
god	神
hit	打つ
tie	ネクタイ
